Phone timestamp;sensor timestamp [ns];X [dps];Y [dps];Z [dps]
2022-04-25T11:40:38.801;704202036275306121;-0.07;-1.4;1.33
2022-04-25T11:40:38.820;704202036294646444;0.0;-1.4;1.33
2022-04-25T11:40:38.839;704202036313986767;0.0;-1.54;1.19
2022-04-25T11:40:38.859;704202036333327090;-0.07;-1.4;1.26
2022-04-25T11:40:38.878;704202036352667413;-0.14;-1.19;1.26
2022-04-25T11:40:38.897;704202036372007736;-0.14;-1.12;1.26
2022-04-25T11:40:38.917;704202036391348059;-0.14;-1.19;1.26
2022-04-25T11:40:38.936;704202036410688382;-0.14;-1.26;1.26
2022-04-25T11:40:38.955;704202036430028705;-0.14;-1.12;1.33
2022-04-25T11:40:38.975;704202036449369028;-0.21000001;-0.98;1.33
2022-04-25T11:40:38.994;704202036468709351;-0.14;-1.12;1.26
2022-04-25T11:40:39.013;704202036488049674;-0.14;-1.19;1.19
2022-04-25T11:40:39.033;704202036507389997;-0.21000001;-1.05;1.19
2022-04-25T11:40:39.052;704202036526730320;-0.21000001;-1.05;1.19
2022-04-25T11:40:39.071;704202036546070643;-0.21000001;-0.91;1.12
2022-04-25T11:40:39.091;704202036565410966;-0.21000001;-0.91;1.12
2022-04-25T11:40:39.110;704202036584751289;-0.21000001;-0.98;1.19
2022-04-25T11:40:39.129;704202036604091612;-0.21000001;-1.05;1.12
2022-04-25T11:40:39.149;704202036623431935;-0.21000001;-0.91;1.12
2022-04-25T11:40:39.168;704202036642772258;-0.14;-0.91;1.12
2022-04-25T11:40:39.187;704202036662112581;-0.21000001;-0.91;1.19
2022-04-25T11:40:39.207;704202036681452904;-0.14;-1.05;1.12
2022-04-25T11:40:39.226;704202036700793227;-0.14;-0.98;1.19
2022-04-25T11:40:39.245;704202036720133550;-0.14;-0.98;1.19
2022-04-25T11:40:39.265;704202036739473873;-0.14;-0.91;1.19
2022-04-25T11:40:39.284;704202036758814196;-0.21000001;-0.84000003;1.19
2022-04-25T11:40:39.303;704202036778154519;-0.21000001;-0.91;1.12
2022-04-25T11:40:39.323;704202036797494842;-0.14;-0.84000003;1.12
2022-04-25T11:40:39.342;704202036816835165;-0.21000001;-0.7;1.19
2022-04-25T11:40:39.361;704202036836175488;-0.14;-0.77;1.26
2022-04-25T11:40:39.381;704202036855515811;-0.07;-0.98;1.26
2022-04-25T11:40:39.400;704202036874856134;-0.14;-0.91;1.19
2022-04-25T11:40:39.419;704202036894196457;-0.28;-0.63;1.19
2022-04-25T11:40:39.439;704202036913536780;-0.35;-0.42000002;1.19
2022-04-25T11:40:39.458;704202036932877103;-0.21000001;-0.63;1.12
2022-04-25T11:40:39.477;704202036952217426;-0.07;-1.05;1.12
2022-04-25T11:40:39.497;704202036971557749;-0.07;-0.98;0.98
2022-04-25T11:40:39.516;704202036990898072;-0.21000001;-0.77;1.12
2022-04-25T11:40:39.536;704202037010238395;-0.28;-0.7;1.19
2022-04-25T11:40:39.555;704202037029578718;-0.28;-0.56;1.19
2022-04-25T11:40:39.574;704202037048919041;-0.21000001;-0.84000003;1.19
2022-04-25T11:40:39.594;704202037068259364;-0.07;-1.05;1.26
2022-04-25T11:40:39.613;704202037087599687;-0.14;-0.84000003;1.26
2022-04-25T11:40:39.632;704202037106940010;-0.21000001;-0.84000003;1.26
2022-04-25T11:40:39.652;704202037126280333;-0.21000001;-0.63;1.26
2022-04-25T11:40:39.671;704202037145620656;-0.21000001;-0.49;1.12
2022-04-25T11:40:39.690;704202037164960979;-0.21000001;-0.56;1.05
2022-04-25T11:40:39.710;704202037184301302;-0.28;-0.7;1.12
2022-04-25T11:40:39.729;704202037203641625;-0.28;-0.7;1.19
2022-04-25T11:40:39.748;704202037222981948;-0.21000001;-0.7;1.19
2022-04-25T11:40:39.768;704202037242322271;-0.21000001;-0.56;1.26
2022-04-25T11:40:39.787;704202037261662594;-0.14;-0.77;1.05
2022-04-25T11:40:39.806;704202037281002917;-0.07;-0.98;1.05
2022-04-25T11:40:39.826;704202037300343240;-0.14;-1.12;1.26
2022-04-25T11:40:39.845;704202037319683563;-0.21000001;-1.12;1.33
2022-04-25T11:40:39.864;704202037339023886;-0.14;-1.12;1.19
