Phone timestamp;PP-interval [ms];error estimate [ms];blocker;contact;contact;hr [bpm]
2022-04-25T11:40:27.288;1167;5;0;1;1;53
2022-04-25T11:40:28.455;1120;5;0;1;1;53
2022-04-25T11:40:29.575;1047;7;0;1;1;53
2022-04-25T11:40:30.622;1166;9;0;1;1;53
2022-04-25T11:40:31.192;1188;8;0;1;1;60
2022-04-25T11:40:32.380;1205;8;0;1;1;60
2022-04-25T11:40:33.585;912;12;0;1;1;60
2022-04-25T11:40:34.497;854;17;0;1;1;60
2022-04-25T11:40:36.315;1199;16;0;1;1;49
2022-04-25T11:40:37.514;1284;18;0;1;1;49
2022-04-25T11:40:38.798;1285;21;0;1;1;49
2022-04-25T11:40:40.083;1197;17;0;1;1;49
2022-04-25T11:40:41.421;1254;14;0;1;1;50
2022-04-25T11:40:42.675;1243;12;0;1;1;50
2022-04-25T11:40:43.918;1198;13;0;1;1;50
2022-04-25T11:40:45.116;1219;14;0;1;1;50
2022-04-25T11:40:46.224;1183;11;0;1;1;48
2022-04-25T11:40:47.407;1185;9;0;1;1;48
2022-04-25T11:40:48.592;1184;9;0;1;1;48
2022-04-25T11:40:49.776;1229;8;0;1;1;48
2022-04-25T11:40:51.323;1283;7;0;1;1;48
2022-04-25T11:40:52.606;1297;7;0;1;1;48
2022-04-25T11:40:53.903;1171;9;0;1;1;48
2022-04-25T11:40:55.074;1229;10;0;1;1;48
2022-04-25T11:40:56.446;1293;8;0;1;1;51
2022-04-25T11:40:57.739;1271;7;0;1;1;51
2022-04-25T11:40:59.010;1247;6;0;1;1;51
2022-04-25T11:41:00.257;1112;6;0;1;1;51
2022-04-25T11:41:01.369;1188;9;0;1;1;51
2022-04-25T11:41:01.255;1264;8;0;1;1;58
2022-04-25T11:41:02.519;1221;7;0;1;1;58
2022-04-25T11:41:03.740;1176;7;0;1;1;58
2022-04-25T11:41:04.916;1008;9;0;1;1;58
2022-04-25T11:41:06.393;889;8;0;1;1;52
2022-04-25T11:41:07.282;1009;7;0;1;1;52
2022-04-25T11:41:08.291;1265;9;0;1;1;52
2022-04-25T11:41:09.556;1287;13;0;1;1;52
2022-04-25T11:41:10.843;1014;16;0;1;1;52
2022-04-25T11:41:11.393;1035;14;0;1;1;51
2022-04-25T11:41:12.428;1290;14;0;1;1;51
2022-04-25T11:41:13.718;1248;18;0;1;1;51
2022-04-25T11:41:14.966;1058;19;0;1;1;51
2022-04-25T11:41:16.423;1199;16;0;1;1;47
2022-04-25T11:41:17.622;1284;13;0;1;1;47
2022-04-25T11:41:18.906;1276;12;0;1;1;47
2022-04-25T11:41:20.182;1264;10;0;1;1;47
2022-04-25T11:41:21.380;1253;8;0;1;1;49
2022-04-25T11:41:22.633;1226;8;0;1;1;49
2022-04-25T11:41:23.859;1224;9;0;1;1;49
2022-04-25T11:41:25.083;1224;9;0;1;1;49
2022-04-25T11:41:26.415;1230;8;0;1;1;53
2022-04-25T11:41:27.645;1110;8;0;1;1;53
2022-04-25T11:41:28.755;959;10;0;1;1;53
2022-04-25T11:41:29.714;1123;10;0;1;1;53
2022-04-25T11:41:31.156;1271;9;0;1;1;61
2022-04-25T11:41:32.427;1207;9;0;1;1;61
2022-04-25T11:41:33.634;1098;10;0;1;1;61
2022-04-25T11:41:34.732;1039;10;0;1;1;61
2022-04-25T11:41:35.771;976;11;0;1;1;61
2022-04-25T11:41:36.202;858;10;0;1;1;51
2022-04-25T11:41:37.060;1049;8;0;1;1;51
2022-04-25T11:41:38.109;1231;7;0;1;1;51
2022-04-25T11:41:39.340;1211;10;0;1;1;51
2022-04-25T11:41:40.551;1132;10;0;1;1;51
2022-04-25T11:41:41.369;1140;9;0;1;1;53
2022-04-25T11:41:42.509;1200;8;0;1;1;53
2022-04-25T11:41:43.709;1160;7;0;1;1;53
2022-04-25T11:41:44.869;1120;6;0;1;1;53
2022-04-25T11:41:46.131;1053;5;0;1;1;52
2022-04-25T11:41:47.184;1005;6;0;1;1;52
2022-04-25T11:41:48.189;1083;8;0;1;1;52
2022-04-25T11:41:49.272;1168;7;0;1;1;52
2022-04-25T11:41:51.261;1203;6;0;1;1;49
2022-04-25T11:41:52.464;1143;6;0;1;1;49
2022-04-25T11:41:53.607;1250;8;0;1;1;49
2022-04-25T11:41:54.857;1240;8;0;1;1;49
2022-04-25T11:41:56.097;1204;7;0;1;1;49
2022-04-25T11:41:56.507;1113;6;0;1;1;52
2022-04-25T11:41:57.620;1055;6;0;1;1;52
2022-04-25T11:41:58.675;1022;8;0;1;1;52
2022-04-25T11:41:59.697;1188;10;0;1;1;52
2022-04-25T11:42:01.436;1242;9;0;1;1;54
2022-04-25T11:42:02.678;1172;8;0;1;1;54
2022-04-25T11:42:03.850;1024;9;0;1;1;54
2022-04-25T11:42:04.874;1076;9;0;1;1;54
2022-04-25T11:42:05.950;1185;8;0;1;1;54
2022-04-25T11:42:06.257;1083;7;0;1;1;53
