Phone timestamp;HR [bpm]
2022-04-25T11:45:06.256;53
2022-04-25T11:45:07.279;53
2022-04-25T11:45:08.260;53
2022-04-25T11:45:09.251;53
2022-04-25T11:45:10.243;53
2022-04-25T11:45:11.264;53
2022-04-25T11:45:12.252;52
2022-04-25T11:45:13.255;52
2022-04-25T11:45:14.309;52
2022-04-25T11:45:15.282;52
2022-04-25T11:45:16.271;50
2022-04-25T11:45:17.294;50
2022-04-25T11:45:18.296;50
2022-04-25T11:45:19.315;50
2022-04-25T11:45:20.263;50
2022-04-25T11:45:21.265;51
2022-04-25T11:45:22.242;51
2022-04-25T11:45:23.262;51
2022-04-25T11:45:24.251;51
2022-04-25T11:45:25.247;51
2022-04-25T11:45:26.261;51
2022-04-25T11:45:27.251;51
2022-04-25T11:45:28.241;51
2022-04-25T11:45:29.262;51
2022-04-25T11:45:30.252;51
2022-04-25T11:45:31.301;52
2022-04-25T11:45:32.262;52
2022-04-25T11:45:33.252;52
2022-04-25T11:45:34.241;52
2022-04-25T11:45:35.262;52
2022-04-25T11:45:36.253;52
2022-04-25T11:45:37.241;47
2022-04-25T11:45:38.261;47
2022-04-25T11:45:39.252;47
2022-04-25T11:45:40.272;47
2022-04-25T11:45:41.261;47
2022-04-25T11:45:42.283;48
2022-04-25T11:45:43.241;48
2022-04-25T11:45:44.263;48
2022-04-25T11:45:45.314;48
2022-04-25T11:45:46.303;48
2022-04-25T11:45:47.274;50
2022-04-25T11:45:48.255;50
2022-04-25T11:45:49.242;50
2022-04-25T11:45:50.270;50
2022-04-25T11:45:51.282;50
2022-04-25T11:45:52.245;50
2022-04-25T11:45:53.264;50
2022-04-25T11:45:54.252;50
2022-04-25T11:45:55.242;50
2022-04-25T11:45:56.312;50
2022-04-25T11:45:57.251;52
2022-04-25T11:45:58.241;52
2022-04-25T11:45:59.263;52
2022-04-25T11:46:00.368;52
2022-04-25T11:46:01.244;52
2022-04-25T11:46:02.262;68
2022-04-25T11:46:03.251;68
2022-04-25T11:46:04.304;68
2022-04-25T11:46:05.263;68
2022-04-25T11:46:06.254;50
2022-04-25T11:46:07.319;50
2022-04-25T11:46:08.294;50
2022-04-25T11:46:09.253;50
2022-04-25T11:46:10.271;50
2022-04-25T11:46:11.343;44
2022-04-25T11:46:12.251;44
2022-04-25T11:46:13.244;44
2022-04-25T11:46:14.261;44
2022-04-25T11:46:15.304;44
2022-04-25T11:46:16.242;44
2022-04-25T11:46:17.262;49
2022-04-25T11:46:18.252;49
2022-04-25T11:46:19.241;49
2022-04-25T11:46:20.262;49
2022-04-25T11:46:21.281;50
2022-04-25T11:46:22.243;50
2022-04-25T11:46:23.292;50
2022-04-25T11:46:24.251;50
2022-04-25T11:46:25.241;50
2022-04-25T11:46:26.265;43
2022-04-25T11:46:27.283;43
2022-04-25T11:46:28.242;43
2022-04-25T11:46:29.369;43
2022-04-25T11:46:30.279;43
2022-04-25T11:46:31.244;43
2022-04-25T11:46:32.264;50
2022-04-25T11:46:33.253;50
2022-04-25T11:46:34.325;50
2022-04-25T11:46:35.272;50
2022-04-25T11:46:36.294;50
2022-04-25T11:46:37.271;50
2022-04-25T11:46:38.292;50
2022-04-25T11:46:39.252;50
2022-04-25T11:46:40.242;50
2022-04-25T11:46:41.351;49
2022-04-25T11:46:42.251;49
2022-04-25T11:46:43.265;49
2022-04-25T11:46:44.261;49
2022-04-25T11:46:45.277;49
2022-04-25T11:46:46.271;49
2022-04-25T11:46:47.263;49
2022-04-25T11:46:48.282;49
2022-04-25T11:46:49.261;49
2022-04-25T11:46:50.261;49
2022-04-25T11:46:51.253;49
2022-04-25T11:46:52.241;49
2022-04-25T11:46:53.369;49
2022-04-25T11:46:54.251;49
2022-04-25T11:46:55.241;49
2022-04-25T11:46:56.291;49
2022-04-25T11:46:57.251;56
2022-04-25T11:46:58.241;56
2022-04-25T11:46:59.263;56
2022-04-25T11:47:00.251;56
2022-04-25T11:47:01.242;56
2022-04-25T11:47:02.262;54
2022-04-25T11:47:03.253;54
2022-04-25T11:47:04.241;54
2022-04-25T11:47:05.262;54
2022-04-25T11:47:06.252;54
2022-04-25T11:47:07.240;50
2022-04-25T11:47:08.261;50
2022-04-25T11:47:09.251;50
2022-04-25T11:47:10.274;50
2022-04-25T11:47:11.260;50
2022-04-25T11:47:12.252;50
2022-04-25T11:47:13.243;50
2022-04-25T11:47:14.261;50
2022-04-25T11:47:15.281;50
2022-04-25T11:47:16.243;50
2022-04-25T11:47:17.262;53
2022-04-25T11:47:18.251;53
2022-04-25T11:47:19.271;53
2022-04-25T11:47:20.262;53
2022-04-25T11:47:21.252;53
2022-04-25T11:47:22.326;53
2022-04-25T11:47:23.263;53
2022-04-25T11:47:24.254;53
2022-04-25T11:47:25.303;53
2022-04-25T11:47:26.260;55
2022-04-25T11:47:27.250;55
2022-04-25T11:47:28.240;55
2022-04-25T11:47:29.264;55
2022-04-25T11:47:30.251;55
2022-04-25T11:47:31.247;56
2022-04-25T11:47:32.291;56
2022-04-25T11:47:33.252;56
2022-04-25T11:47:34.271;56
2022-04-25T11:47:35.262;56
2022-04-25T11:47:36.252;56
2022-04-25T11:47:37.241;56
2022-04-25T11:47:38.263;56
2022-04-25T11:47:39.253;56
2022-04-25T11:47:40.241;56
2022-04-25T11:47:41.260;54
2022-04-25T11:47:42.252;54
2022-04-25T11:47:43.271;54
2022-04-25T11:47:44.265;54
2022-04-25T11:47:45.250;54
2022-04-25T11:47:46.270;55
2022-04-25T11:47:47.265;55
2022-04-25T11:47:48.253;55
2022-04-25T11:47:49.243;55
2022-04-25T11:47:50.293;55
2022-04-25T11:47:51.253;55
2022-04-25T11:47:52.241;53
2022-04-25T11:47:53.262;53
2022-04-25T11:47:54.354;53
2022-04-25T11:47:55.242;53
2022-04-25T11:47:56.294;53
2022-04-25T11:47:57.254;57
2022-04-25T11:47:58.243;57
2022-04-25T11:47:59.294;57
2022-04-25T11:48:00.282;57
2022-04-25T11:48:01.244;57
2022-04-25T11:48:02.263;53
2022-04-25T11:48:03.252;53
2022-04-25T11:48:04.271;53
2022-04-25T11:48:05.261;53
2022-04-25T11:48:06.254;53
2022-04-25T11:48:07.242;57
2022-04-25T11:48:08.262;57
2022-04-25T11:48:09.287;57
