Phone timestamp;sensor timestamp [ns];X [G];Y [G];Z [G]
2022-04-25T11:40:14.185;704202010790845721;-1.1655;-0.6135;0.3555
2022-04-25T11:40:14.205;704202010811070317;-1.164;-0.6165;0.351
2022-04-25T11:40:14.225;704202010831294913;-1.1565;-0.609;0.351
2022-04-25T11:40:14.246;704202010851519509;-1.155;-0.6135;0.3555
2022-04-25T11:40:14.266;704202010871744105;-1.1625;-0.621;0.357
2022-04-25T11:40:14.286;704202010891968701;-1.158;-0.6165;0.3615
2022-04-25T11:40:14.306;704202010912193297;-1.158;-0.615;0.3585
2022-04-25T11:40:14.326;704202010932417893;-1.161;-0.6165;0.3555
2022-04-25T11:40:14.347;704202010952642489;-1.1625;-0.6165;0.354
2022-04-25T11:40:14.367;704202010972867085;-1.1655;-0.61800003;0.3555
2022-04-25T11:40:14.387;704202010993091681;-1.1685001;-0.61800003;0.3555
2022-04-25T11:40:14.407;704202011013316277;-1.17;-0.612;0.354
2022-04-25T11:40:14.428;704202011033540873;-1.167;-0.612;0.3585
2022-04-25T11:40:14.448;704202011053765469;-1.167;-0.6165;0.36
2022-04-25T11:40:14.468;704202011073990065;-1.1655;-0.6135;0.357
2022-04-25T11:40:14.488;704202011094214661;-1.161;-0.612;0.357
2022-04-25T11:40:14.508;704202011114439257;-1.149;-0.61800003;0.3555
2022-04-25T11:40:14.529;704202011134662510;-1.1505;-0.615;0.354
2022-04-25T11:40:14.549;704202011154885729;-1.1655;-0.6135;0.3525
2022-04-25T11:40:14.569;704202011175108948;-1.167;-0.6165;0.3555
2022-04-25T11:40:14.589;704202011195332167;-1.1655;-0.612;0.3585
2022-04-25T11:40:14.610;704202011215555386;-1.167;-0.612;0.357
2022-04-25T11:40:14.630;704202011235778605;-1.17;-0.612;0.357
2022-04-25T11:40:14.650;704202011256001824;-1.17;-0.6105;0.357
2022-04-25T11:40:14.670;704202011276225043;-1.164;-0.612;0.357
2022-04-25T11:40:14.690;704202011296448262;-1.164;-0.6165;0.357
2022-04-25T11:40:14.711;704202011316671481;-1.164;-0.6135;0.354
2022-04-25T11:40:14.731;704202011336894700;-1.1655;-0.6105;0.3555
2022-04-25T11:40:14.751;704202011357117919;-1.164;-0.6105;0.36
2022-04-25T11:40:14.771;704202011377341138;-1.161;-0.612;0.354
2022-04-25T11:40:14.792;704202011397564357;-1.1625;-0.615;0.3495
2022-04-25T11:40:14.812;704202011417787576;-1.1685001;-0.615;0.3555
2022-04-25T11:40:14.832;704202011438010795;-1.17;-0.609;0.3585
2022-04-25T11:40:14.852;704202011458234014;-1.1655;-0.6105;0.354
2022-04-25T11:40:14.872;704202011478457233;-1.1655;-0.615;0.354
2022-04-25T11:40:14.893;704202011498680452;-1.164;-0.6105;0.357
2022-04-25T11:40:14.913;704202011518903671;-1.164;-0.612;0.3525
2022-04-25T11:40:14.933;704202011539126890;-1.1625;-0.61800003;0.351
2022-04-25T11:40:14.953;704202011559350109;-1.155;-0.606;0.3525
2022-04-25T11:40:14.974;704202011579573328;-1.1565;-0.6045;0.357
2022-04-25T11:40:14.994;704202011599796547;-1.1625;-0.6165;0.36
2022-04-25T11:40:15.014;704202011620019766;-1.161;-0.6165;0.3555
2022-04-25T11:40:15.034;704202011640242985;-1.1565;-0.6105;0.3555
2022-04-25T11:40:15.055;704202011660466204;-1.1625;-0.6105;0.36
2022-04-25T11:40:15.075;704202011680689423;-1.164;-0.612;0.3555
2022-04-25T11:40:15.095;704202011700912642;-1.155;-0.603;0.357
2022-04-25T11:40:15.115;704202011721135861;-1.158;-0.6045;0.36
2022-04-25T11:40:15.135;704202011741359080;-1.167;-0.615;0.3585
2022-04-25T11:40:15.156;704202011761582299;-1.17;-0.6135;0.3555
2022-04-25T11:40:15.176;704202011781805518;-1.1685001;-0.6135;0.354
2022-04-25T11:40:15.196;704202011802028737;-1.167;-0.615;0.357
2022-04-25T11:40:15.216;704202011822251956;-1.1655;-0.615;0.3585
2022-04-25T11:40:15.237;704202011842475175;-1.1595;-0.6195;0.354
2022-04-25T11:40:15.257;704202011862698394;-1.1625;-0.6165;0.3555
2022-04-25T11:40:15.277;704202011882921613;-1.164;-0.6105;0.3585
2022-04-25T11:40:15.297;704202011903144832;-1.1595;-0.6135;0.3555
2022-04-25T11:40:15.317;704202011923368051;-1.164;-0.612;0.354
2022-04-25T11:40:15.338;704202011943591270;-1.164;-0.6105;0.351
2022-04-25T11:40:15.358;704202011963814489;-1.167;-0.612;0.351
2022-04-25T11:40:15.378;704202011984037708;-1.17;-0.612;0.3525
2022-04-25T11:40:15.398;704202012004260927;-1.1655;-0.6195;0.351
2022-04-25T11:40:15.419;704202012024484146;-1.1595;-0.6135;0.354
2022-04-25T11:40:15.439;704202012044707365;-1.1565;-0.603;0.3555
2022-04-25T11:40:15.459;704202012064930584;-1.1625;-0.6135;0.3525
2022-04-25T11:40:15.479;704202012085153803;-1.1625;-0.6135;0.3525
2022-04-25T11:40:15.499;704202012105377022;-1.1625;-0.6075;0.3555
2022-04-25T11:40:15.520;704202012125600241;-1.164;-0.6135;0.357
2022-04-25T11:40:15.540;704202012145823460;-1.164;-0.6105;0.3585
2022-04-25T11:40:15.560;704202012166046679;-1.1595;-0.6135;0.357
2022-04-25T11:40:15.580;704202012186269898;-1.158;-0.6045;0.357
2022-04-25T11:40:15.601;704202012206493117;-1.164;-0.6;0.354
2022-04-25T11:40:15.621;704202012226716336;-1.1685001;-0.6105;0.351
2022-04-25T11:40:15.641;704202012246939555;-1.158;-0.6165;0.354
2022-04-25T11:40:15.661;704202012267162774;-1.155;-0.621;0.354
2022-04-25T11:40:15.681;704202012287385993;-1.164;-0.6195;0.354
2022-04-25T11:40:15.702;704202012307609212;-1.1655;-0.61800003;0.3525
2022-04-25T11:40:15.722;704202012327832431;-1.164;-0.612;0.3525
2022-04-25T11:40:15.742;704202012348055650;-1.1625;-0.612;0.354
2022-04-25T11:40:15.762;704202012368278869;-1.158;-0.615;0.3585
2022-04-25T11:40:15.783;704202012388502088;-1.1565;-0.615;0.36
2022-04-25T11:40:15.803;704202012408725307;-1.1625;-0.6135;0.3555
2022-04-25T11:40:15.823;704202012428948526;-1.1685001;-0.61800003;0.3525
2022-04-25T11:40:15.843;704202012449171745;-1.1685001;-0.61800003;0.3525
2022-04-25T11:40:15.863;704202012469394964;-1.17;-0.615;0.3555
2022-04-25T11:40:15.884;704202012489618183;-1.173;-0.6135;0.351
2022-04-25T11:40:15.904;704202012509841402;-1.17;-0.6135;0.3525
2022-04-25T11:40:15.924;704202012530064621;-1.167;-0.61800003;0.3525
2022-04-25T11:40:15.944;704202012550287840;-1.1625;-0.6165;0.351
2022-04-25T11:40:15.965;704202012570511059;-1.1625;-0.6105;0.3555
2022-04-25T11:40:15.985;704202012590734278;-1.1595;-0.609;0.3525
2022-04-25T11:40:16.005;704202012610957497;-1.155;-0.6105;0.351
2022-04-25T11:40:16.025;704202012631180716;-1.1595;-0.6045;0.354
2022-04-25T11:40:16.045;704202012651403935;-1.164;-0.6045;0.351
2022-04-25T11:40:16.066;704202012671627154;-1.167;-0.615;0.351
2022-04-25T11:40:16.086;704202012691850373;-1.1565;-0.61800003;0.3525
2022-04-25T11:40:16.106;704202012712073592;-1.158;-0.61800003;0.3495
2022-04-25T11:40:16.126;704202012732296811;-1.1655;-0.615;0.3495
2022-04-25T11:40:16.147;704202012752520030;-1.1625;-0.612;0.354
2022-04-25T11:40:16.167;704202012772743249;-1.167;-0.6075;0.354
2022-04-25T11:40:16.187;704202012792966468;-1.164;-0.612;0.3525
2022-04-25T11:40:16.207;704202012813189687;-1.1655;-0.61800003;0.3495
2022-04-25T11:40:16.227;704202012833412906;-1.1745;-0.61800003;0.351
2022-04-25T11:40:16.248;704202012853636125;-1.173;-0.615;0.3555
2022-04-25T11:40:16.268;704202012873859344;-1.173;-0.6135;0.357
2022-04-25T11:40:16.288;704202012894082563;-1.167;-0.61800003;0.354
2022-04-25T11:40:16.308;704202012914305782;-1.164;-0.6195;0.354
2022-04-25T11:40:16.329;704202012934529001;-1.167;-0.61800003;0.348
2022-04-25T11:40:16.349;704202012954752220;-1.167;-0.6195;0.351
2022-04-25T11:40:16.369;704202012974975439;-1.1685001;-0.6165;0.3555
2022-04-25T11:40:16.389;704202012995198658;-1.1685001;-0.6165;0.3555
2022-04-25T11:40:16.409;704202013015421877;-1.167;-0.6045;0.354
2022-04-25T11:40:16.430;704202013035645096;-1.167;-0.6045;0.3555
2022-04-25T11:40:16.450;704202013055868315;-1.1685001;-0.61800003;0.357
2022-04-25T11:40:16.470;704202013076091534;-1.1655;-0.612;0.3555
2022-04-25T11:40:16.490;704202013096314753;-1.167;-0.6105;0.351
2022-04-25T11:40:16.511;704202013116537972;-1.1595;-0.615;0.3525
2022-04-25T11:40:16.531;704202013136761191;-1.1625;-0.6135;0.3555
2022-04-25T11:40:16.551;704202013156984410;-1.167;-0.615;0.357
2022-04-25T11:40:16.571;704202013177207629;-1.1625;-0.6105;0.357
2022-04-25T11:40:16.591;704202013197430848;-1.1625;-0.6045;0.3495
2022-04-25T11:40:16.612;704202013217654067;-1.161;-0.6075;0.351
2022-04-25T11:40:16.632;704202013237877286;-1.164;-0.612;0.3585
2022-04-25T11:40:16.652;704202013258100505;-1.164;-0.612;0.357
2022-04-25T11:40:16.672;704202013278323724;-1.1655;-0.6135;0.3525
2022-04-25T11:40:16.693;704202013298546943;-1.1685001;-0.615;0.3525
2022-04-25T11:40:16.713;704202013318770162;-1.167;-0.6135;0.3555
2022-04-25T11:40:16.733;704202013338993381;-1.1655;-0.6105;0.3555
2022-04-25T11:40:16.753;704202013359216600;-1.17;-0.612;0.351
2022-04-25T11:40:16.773;704202013379439819;-1.17;-0.621;0.348
2022-04-25T11:40:16.794;704202013399663038;-1.1655;-0.6195;0.351
2022-04-25T11:40:16.814;704202013419886257;-1.164;-0.615;0.3525
2022-04-25T11:40:16.834;704202013440109476;-1.167;-0.6105;0.354
2022-04-25T11:40:16.854;704202013460332695;-1.1625;-0.612;0.3585
2022-04-25T11:40:16.875;704202013480555914;-1.164;-0.6165;0.357
2022-04-25T11:40:16.895;704202013500779133;-1.1655;-0.6135;0.3555
2022-04-25T11:40:16.915;704202013521002352;-1.161;-0.6075;0.354
2022-04-25T11:40:16.935;704202013541225571;-1.1655;-0.6135;0.354
2022-04-25T11:40:16.955;704202013561448790;-1.158;-0.594;0.357
2022-04-25T11:40:16.976;704202013581671508;-1.161;-0.59250003;0.357
2022-04-25T11:40:16.996;704202013601894204;-1.167;-0.615;0.3525
2022-04-25T11:40:17.016;704202013622116900;-1.1595;-0.6165;0.3495
2022-04-25T11:40:17.036;704202013642339596;-1.1595;-0.61800003;0.348
2022-04-25T11:40:17.057;704202013662562292;-1.1655;-0.6165;0.351
2022-04-25T11:40:17.077;704202013682784988;-1.167;-0.615;0.354
2022-04-25T11:40:17.097;704202013703007684;-1.17;-0.6135;0.354
2022-04-25T11:40:17.117;704202013723230380;-1.1625;-0.615;0.357
2022-04-25T11:40:17.137;704202013743453076;-1.1565;-0.615;0.357
2022-04-25T11:40:17.158;704202013763675772;-1.1655;-0.6195;0.357
2022-04-25T11:40:17.178;704202013783898468;-1.17;-0.61800003;0.357
2022-04-25T11:40:17.198;704202013804121164;-1.167;-0.609;0.351
2022-04-25T11:40:17.218;704202013824343860;-1.1625;-0.6105;0.351
2022-04-25T11:40:17.239;704202013844566556;-1.1625;-0.6165;0.351
2022-04-25T11:40:17.259;704202013864789252;-1.1655;-0.621;0.3555
2022-04-25T11:40:17.279;704202013885011948;-1.164;-0.61800003;0.3585
2022-04-25T11:40:17.299;704202013905234644;-1.161;-0.612;0.36
2022-04-25T11:40:17.319;704202013925457340;-1.1595;-0.6135;0.357
2022-04-25T11:40:17.340;704202013945680036;-1.161;-0.615;0.354
2022-04-25T11:40:17.360;704202013965902732;-1.1625;-0.6195;0.3555
